Pallet,Weight,Profit
1, 1024, 1024
2, 1024, 1024
3, 512, 512
4, 512, 512
5, 512, 512
6, 512, 512
7, 256, 256
8, 256, 256
9, 256, 256
10, 256, 256
11, 256, 256
12, 256, 256
13, 256, 256
14, 256, 256
15, 128, 128
16, 128, 128
17, 128, 128
18, 128, 128
19, 128, 128
20, 128, 128
21, 128, 128
22, 128, 128
23, 128, 128
24, 128, 128
25, 128, 128
26, 128, 128
27, 128, 128
28, 128, 128
29, 128, 128
30, 128, 128
31, 64, 64
32, 64, 64
33, 64, 64
34, 64, 64
35, 64, 64
36, 64, 64
37, 64, 64
38, 64, 64
39, 64, 64
40, 64, 64
41, 64, 64
42, 64, 64
43, 64, 64
44, 64, 64
45, 64, 64
46, 64, 64
47, 64, 64
48, 64, 64
49, 64, 64
50, 64, 64
51, 64, 64
52, 64, 64
53, 64, 64
54, 64, 64
55, 64, 64
56, 64, 64
57, 64, 64
58, 64, 64
59, 64, 64
60, 64, 64
61, 64, 64
62, 64, 64
63, 32, 32
64, 32, 32
65, 32, 32
66, 32, 32
67, 32, 32
68, 32, 32
69, 32, 32
70, 32, 32
71, 32, 32
72, 32, 32
73, 32, 32
74, 32, 32
75, 32, 32
76, 32, 32
77, 32, 32
78, 32, 32
79, 32, 32
80, 32, 32
81, 32, 32
82, 32, 32
83, 32, 32
84, 32, 32
85, 32, 32
86, 32, 32
87, 32, 32
88, 32, 32
89, 32, 32
90, 32, 32
91, 32, 32
92, 32, 32
93, 32, 32
94, 32, 32
95, 32, 32
96, 32, 32
97, 32, 32
98, 32, 32
99, 32, 32
100, 32, 32
101, 32, 32
102, 32, 32
103, 32, 32
104, 32, 32
105, 32, 32
106, 32, 32
107, 32, 32
108, 32, 32
109, 32, 32
110, 32, 32
111, 32, 32
112, 32, 32
113, 32, 32
114, 32, 32
115, 32, 32
116, 32, 32
117, 32, 32
118, 32, 32
119, 32, 32
120, 32, 32
121, 32, 32
122, 32, 32
123, 32, 32
124, 32, 32
125, 32, 32
126, 32, 32
127, 16, 16
128, 16, 16
129, 16, 16
130, 16, 16
131, 16, 16
132, 16, 16
133, 16, 16
134, 16, 16
135, 16, 16
136, 16, 16
137, 16, 16
138, 16, 16
139, 16, 16
140, 16, 16
141, 16, 16
142, 16, 16
143, 16, 16
144, 16, 16
145, 16, 16
146, 16, 16
147, 16, 16
148, 16, 16
149, 16, 16
150, 16, 16
151, 16, 16
152, 16, 16
153, 16, 16
154, 16, 16
155, 16, 16
156, 16, 16
157, 16, 16
158, 16, 16
159, 16, 16
160, 16, 16
161, 16, 16
162, 16, 16
163, 16, 16
164, 16, 16
165, 16, 16
166, 16, 16
167, 16, 16
168, 16, 16
169, 16, 16
170, 16, 16
171, 16, 16
172, 16, 16
173, 16, 16
174, 16, 16
175, 16, 16
176, 16, 16
177, 16, 16
178, 16, 16
179, 16, 16
180, 16, 16
181, 16, 16
182, 16, 16
183, 16, 16
184, 16, 16
185, 16, 16
186, 16, 16
187, 16, 16
188, 16, 16
189, 16, 16
190, 16, 16
191, 16, 16
192, 16, 16
193, 16, 16
194, 16, 16
195, 16, 16
196, 16, 16
197, 16, 16
198, 16, 16
199, 16, 16
200, 16, 16
201, 16, 16
202, 16, 16
203, 16, 16
204, 16, 16
205, 16, 16
206, 16, 16
207, 16, 16
208, 16, 16
209, 16, 16
210, 16, 16
211, 16, 16
212, 16, 16
213, 16, 16
214, 16, 16
215, 16, 16
216, 16, 16
217, 16, 16
218, 16, 16
219, 16, 16
220, 16, 16
221, 16, 16
222, 16, 16
223, 16, 16
224, 16, 16
225, 16, 16
226, 16, 16
227, 16, 16
228, 16, 16
229, 16, 16
230, 16, 16
231, 16, 16
232, 16, 16
233, 16, 16
234, 16, 16
235, 16, 16
236, 16, 16
237, 16, 16
238, 16, 16
239, 16, 16
240, 16, 16
241, 16, 16
242, 16, 16
243, 16, 16
244, 16, 16
245, 16, 16
246, 16, 16
247, 16, 16
248, 16, 16
249, 16, 16
250, 16, 16
251, 16, 16
252, 16, 16
253, 16, 16
254, 16, 16
255, 8, 8
256, 8, 8
257, 8, 8
258, 8, 8
259, 8, 8
260, 8, 8
261, 8, 8
262, 8, 8
263, 8, 8
264, 8, 8
265, 8, 8
266, 8, 8
267, 8, 8
268, 8, 8
269, 8, 8
270, 8, 8
271, 8, 8
272, 8, 8
273, 8, 8
274, 8, 8
275, 8, 8
276, 8, 8
277, 8, 8
278, 8, 8
279, 8, 8
280, 8, 8
281, 8, 8
282, 8, 8
283, 8, 8
284, 8, 8
285, 8, 8
286, 8, 8
287, 8, 8
288, 8, 8
289, 8, 8
290, 8, 8
291, 8, 8
292, 8, 8
293, 8, 8
294, 8, 8
295, 8, 8
296, 8, 8
297, 8, 8
298, 8, 8
299, 8, 8
300, 8, 8
301, 8, 8
302, 8, 8
303, 8, 8
304, 8, 8
305, 8, 8
306, 8, 8
307, 8, 8
308, 8, 8
309, 8, 8
310, 8, 8
311, 8, 8
312, 8, 8
313, 8, 8
314, 8, 8
315, 8, 8
316, 8, 8
317, 8, 8
318, 8, 8
319, 8, 8
320, 8, 8
321, 8, 8
322, 8, 8
323, 8, 8
324, 8, 8
325, 8, 8
326, 8, 8
327, 8, 8
328, 8, 8
329, 8, 8
330, 8, 8
331, 8, 8
332, 8, 8
333, 8, 8
334, 8, 8
335, 8, 8
336, 8, 8
337, 8, 8
338, 8, 8
339, 8, 8
340, 8, 8
341, 8, 8
342, 8, 8
343, 8, 8
344, 8, 8
345, 8, 8
346, 8, 8
347, 8, 8
348, 8, 8
349, 8, 8
350, 8, 8
351, 8, 8
352, 8, 8
353, 8, 8
354, 8, 8
355, 8, 8
356, 8, 8
357, 8, 8
358, 8, 8
359, 8, 8
360, 8, 8
361, 8, 8
362, 8, 8
363, 8, 8
364, 8, 8
365, 8, 8
366, 8, 8
367, 8, 8
368, 8, 8
369, 8, 8
370, 8, 8
371, 8, 8
372, 8, 8
373, 8, 8
374, 8, 8
375, 8, 8
376, 8, 8
377, 8, 8
378, 8, 8
379, 8, 8
380, 8, 8
381, 8, 8
382, 8, 8
383, 8, 8
384, 8, 8
385, 8, 8
386, 8, 8
387, 8, 8
388, 8, 8
389, 8, 8
390, 8, 8
391, 8, 8
392, 8, 8
393, 8, 8
394, 8, 8
395, 8, 8
396, 8, 8
397, 8, 8
398, 8, 8
399, 8, 8
400, 8, 8
401, 8, 8
402, 8, 8
403, 8, 8
404, 8, 8
405, 8, 8
406, 8, 8
407, 8, 8
408, 8, 8
409, 8, 8
410, 8, 8
411, 8, 8
412, 8, 8
413, 8, 8
414, 8, 8
415, 8, 8
416, 8, 8
417, 8, 8
418, 8, 8
419, 8, 8
420, 8, 8
